Car_Age,Car_Brand,Car_Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs)
10,Maruti,Swift,60660,Diesel,Manual,1st owner,279000
6,Maruti,Swift Dzire,150000,Petrol,Manual,2nd owner,357000
4,Mahindra,XUV500,48700,Diesel,Manual,2nd owner,1163000
10,Maruti,OMNI E,55800,Petrol,Manual,3rd owner,146000
15,Volkswagen,Vento,49320,Petrol,Manual,1st owner,179000
9,Maruti,Omni,99790,Petrol,Manual,1st owner,165000
12,Maruti,OMNI E,86550,Petrol,Manual,1st owner,150000
8,Tata,Hexa,150000,Diesel,Manual,1st owner,476999
5,Hyundai,Creta,47760,Petrol,Manual,1st owner,986999
1,Tata,PUNCH EV,15570,Electric,Auto,1st owner,1050000
14,Hyundai,i20,120000,Diesel,Manual,5th owner,231000
12,Maruti,Alto 800,96290,Petrol,Manual,3rd owner,141000
14,Maruti,Wagon R 1.0,64530,Petrol,Manual,3rd owner,252000
12,Maruti,A Star,92050,Petrol,Auto,3rd owner,223000
10,Maruti,Ciaz,150000,Diesel,Manual,3rd owner,532000
9,Volkswagen,Polo,140000,Petrol,Manual,2nd owner,409999
15,Tata,Indigo ECS,150000,Diesel,Manual,1st owner,100000
8,Maruti,Wagon R 1.0,99150,Petrol,Manual,2nd owner,518000
10,Hyundai,Verna,140000,Diesel,Manual,3rd owner,513999
10,Maruti,Ertiga,120000,Petrol,Manual,3rd owner,619000
5,Hyundai,VENUE,150000,Diesel,Manual,1st owner,1114000
12,Hyundai,Verna,99170,Petrol,Manual,4th owner,321000
8,Hyundai,Creta,100000,Diesel,Manual,1st owner,850000
13,Maruti,Wagon R 1.0,120000,Petrol,Manual,2nd owner,250000
10,Honda,City,79290,Petrol,Auto,2nd owner,678000
9,Honda,BR-V,290000,Diesel,Manual,1st owner,611000
3,Maruti,Dzire,72020,Petrol,Manual,1st owner,850000
4,Ford,FREESTYLE,68520,Petrol,Manual,1st owner,550000
13,BMW,X1,110000,Diesel,Auto,3rd owner,509000
11,Hyundai,Santa Fe,220000,Diesel,Auto,4th owner,567000
8,Maruti,Vitara Brezza,62670,Diesel,Manual,4th owner,565000
14,Maruti,Ritz,190000,Diesel,Manual,2nd owner,169000
5,Renault,Kwid,110000,Petrol,Manual,3rd owner,199000
11,Maruti,Swift Dzire,150000,Diesel,Manual,4th owner,276000
8,Hyundai,Elite i20,53970,Petrol,Manual,2nd owner,420000
12,Hyundai,i20,51020,Petrol,Manual,2nd owner,233000
2,MG,HECTOR PLUS,32000,Diesel,Manual,1st owner,1800000
10,Hyundai,i10,110000,Petrol,Manual,3rd owner,159000
13,Volkswagen,Vento,160000,Diesel,Manual,3rd owner,145000
13,Hyundai,i20,160000,Diesel,Manual,4th owner,135000
13,Mahindra,XUV500,94550,Diesel,Manual,3rd owner,225000
9,Honda,Amaze,79330,Diesel,Manual,2nd owner,291000
11,Maruti,Swift Dzire,120000,Diesel,Manual,7th owner,300000
7,Datsun,Redi Go,120000,Petrol,Manual,2nd owner,129000
13,Renault,Duster,160000,Diesel,Manual,3rd owner,138000
1,Maruti,Grand Vitara,12050,Petrol,Manual,1st owner,969999
9,Ford,Figo Aspire,93210,Petrol,Manual,1st owner,309000
12,Volkswagen,Polo,140000,Petrol,Manual,3rd owner,220000
6,Maruti,Alto,46430,Petrol,Manual,2nd owner,317000
11,Nissan,Terrano,98900,Diesel,Manual,4th owner,191000
10,Maruti,Alto 800,160000,Petrol,Manual,1st owner,175000
11,Nissan,Terrano,100000,Diesel,Manual,4th owner,200000
12,Mahindra,Xylo,94580,Diesel,Manual,3rd owner,193000
13,Hyundai,Eon,100000,Petrol,Manual,3rd owner,100000
11,Hyundai,Grand i10,79500,Diesel,Manual,3rd owner,175000
12,Hyundai,Grand i10,78120,Diesel,Manual,1st owner,269000
6,Hyundai,Verna,70760,Petrol,Manual,1st owner,747000
14,Ford,Figo,91240,Petrol,Manual,3rd owner,98000
14,Maruti,Swift,91410,Petrol,Manual,1st owner,219000
8,Volkswagen,Ameo,120000,Petrol,Manual,1st owner,350000
15,Hyundai,Verna,200000,Diesel,Manual,3rd owner,110000
8,Maruti,Baleno,35750,Petrol,Manual,3rd owner,395000
15,Maruti,Ritz,180000,Diesel,Manual,1st owner,110000
12,Maruti,Swift Dzire,140000,Diesel,Manual,3rd owner,270000
1,Tata,PUNCH,4120,Petrol,Manual,1st owner,612000
6,Renault,TRIBER,17110,Petrol,Manual,1st owner,500000
9,Maruti,Baleno,80540,Petrol,Manual,2nd owner,386000
11,Honda,Brio,75150,Petrol,Manual,3rd owner,256999
4,Maruti,Vitara Brezza,100000,Petrol,Manual,1st owner,720000
11,Honda,City,92270,Diesel,Manual,2nd owner,320000
18,Honda,City ZX,140000,Petrol,Manual,3rd owner,104000
11,Toyota,Etios,120000,Diesel,Manual,2nd owner,275000
14,Maruti,Wagon R 1.0,100000,Petrol,Manual,2nd owner,142000
12,Maruti,Swift,130000,Diesel,Manual,1st owner,304000
4,Datsun,Redi Go,16500,Petrol,Manual,1st owner,340000
14,Maruti,Alto,110000,Petrol,Manual,3rd owner,100000
6,Honda,Amaze,51670,Diesel,Manual,1st owner,656000
10,Renault,Lodgy,140000,Diesel,Manual,1st owner,250000
11,Maruti,Swift,95090,Diesel,Manual,3rd owner,290000
3,Tata,Harrier,56110,Diesel,Auto,1st owner,1900000
8,Honda,City,22750,Petrol,Auto,1st owner,699000
8,Hyundai,Creta,88040,Petrol,Manual,2nd owner,700000
4,Tata,Harrier,110000,Diesel,Manual,1st owner,1300000
13,Skoda,Superb,76080,Diesel,Auto,1st owner,323000
10,Mahindra,XUV500,91080,Diesel,Manual,3rd owner,500000
8,Mahindra,XUV500,120000,Diesel,Auto,2nd owner,750000
3,Tata,Harrier,53980,Diesel,Manual,1st owner,1500000
3,Maruti,XL6,75430,Petrol,Manual,1st owner,919999
4,Renault,Kiger,91160,Petrol,Manual,1st owner,516000
2,Maruti,IGNIS,66260,Petrol,Manual,1st owner,424000
13,Toyota,Fortuner,360000,Diesel,Manual,1st owner,969000
6,Tata,Tiago,100000,Petrol,Manual,1st owner,391000
9,Mahindra,XUV500,130000,Diesel,Manual,2nd owner,560000
3,Tata,NEXON,42610,Petrol,Manual,1st owner,819999
11,Honda,City,93790,Diesel,Manual,2nd owner,381000
7,Jeep,Compass,120000,Diesel,Manual,3rd owner,800000
3,KIA,SELTOS,90060,Diesel,Manual,1st owner,1100000
2,KIA,SONET,59850,Petrol,Manual,1st owner,930000
8,Hyundai,Creta,160000,Diesel,Manual,1st owner,844999
2,MG,HECTOR PLUS,100000,Diesel,Manual,1st owner,1976000
2,Tata,Harrier,46710,Diesel,Manual,1st owner,1600000
4,MG,HECTOR,30910,Petrol,Auto,1st owner,1594000
14,Audi,A4,120000,Diesel,Auto,3rd owner,511000
14,Toyota,Fortuner,160000,Diesel,Manual,3rd owner,650000
2,Hyundai,Verna,14140,Petrol,Manual,1st owner,1490000
9,Tata,Safari Storme,93000,Diesel,Manual,3rd owner,500000
14,Audi,A8L,94850,Diesel,Auto,2nd owner,1000000
11,Landrover,Freelander 2,130000,Diesel,Auto,1st owner,1176000
6,Hyundai,VENUE,76260,Petrol,Auto,1st owner,885000
6,Tata,Harrier,110000,Diesel,Manual,2nd owner,971000
2,Skoda,Kodiaq,10820,Petrol,Auto,1st owner,3740000
13,Mahindra,XUV500,170000,Diesel,Manual,1st owner,398000
2,Tata,NEXON,9730,Petrol,Manual,1st owner,1150000
13,Hyundai,Eon,62300,Petrol,Manual,2nd owner,182000
14,Tata,Manza,100000,Diesel,Manual,6th owner,100000
8,Maruti,Baleno,52890,Petrol,Auto,3rd owner,484999
14,Maruti,Swift,130000,Diesel,Manual,3rd owner,300000
8,Mahindra,XUV500,150000,Diesel,Manual,1st owner,850000
10,Renault,Duster,140000,Diesel,Manual,2nd owner,542000
12,Mahindra,XUV500,170000,Diesel,Manual,4th owner,475000
3,Hyundai,ALCAZAR,88990,Diesel,Manual,1st owner,1380000
8,Maruti,S Cross,110000,Diesel,Manual,2nd owner,730000
9,Mercedes,Benz E Class,110000,Diesel,Auto,1st owner,1350000
8,Jeep,Compass,48220,Diesel,Manual,2nd owner,1100000
9,Maruti,Alto 800,17180,Petrol,Manual,2nd owner,310000
11,Chevrolet,Beat,33600,Petrol,Manual,2nd owner,130000
14,Hyundai,Verna,82170,Petrol,Manual,3rd owner,335000
11,Volkswagen,Polo,94400,Diesel,Manual,2nd owner,399000
11,Maruti,Swift,250000,Diesel,Manual,1st owner,545000
1,Tata,PUNCH,3420,Petrol,Manual,1st owner,950000
15,Hyundai,i10,56380,Petrol,Auto,2nd owner,178000
9,Maruti,Celerio,69200,Petrol,Auto,2nd owner,300000
6,Maruti,Ertiga,91580,Petrol,Manual,2nd owner,950000
11,Maruti,Ertiga,98440,Petrol,Manual,2nd owner,450000
7,Hyundai,NEW SANTRO,110000,Petrol,Manual,1st owner,400000
7,Ford,Ecosport,97820,Diesel,Manual,1st owner,800000
5,Maruti,Eeco,81260,Petrol,Manual,2nd owner,513999
2,Tata,PUNCH,35940,Petrol,Manual,1st owner,637000
9,Mahindra,Kuv100,110000,Diesel,Manual,1st owner,245000
14,Tata,Manza,68020,Petrol,Manual,2nd owner,121000
6,Renault,TRIBER,39990,Petrol,Manual,3rd owner,500000
11,Maruti,Swift Dzire,160000,Petrol,Manual,1st owner,300000
10,Maruti,Alto K10,40210,Petrol,Manual,1st owner,210000
12,Maruti,Swift Dzire,110000,Diesel,Manual,4th owner,167000
10,Tata,Zest,75010,Diesel,Manual,2nd owner,179000
